date,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median ('91-'20),Median (POR),Median Peak SWE
12-27,2.6,0.7,1.5,3.3,6.3,4.2,5.3,2.2,4.2,3.2,2.0,3.4,4.3,0.5,1.5,6.0,0.2,4.8,2.6,,0.2,0.7,2.0,4.2,5.5,6.3,2.7,3.2,7.9
12-28,2.6,0.8,1.8,3.4,6.4,4.2,5.3,2.1,4.3,3.2,2.0,3.4,4.3,0.5,1.8,6.1,0.2,5.3,2.7,,0.2,0.7,2.0,4.2,5.5,6.4,2.8,3.2,7.9
12-29,3.8,0.8,2.0,3.4,6.4,4.2,5.4,2.1,4.3,3.2,2.0,3.4,4.3,0.5,1.8,6.2,1.0,5.4,3.0,,0.5,1.0,2.0,4.3,5.6,6.4,2.9,3.4,7.9
12-30,5.6,0.8,2.0,3.4,6.4,4.2,7.0,2.1,4.3,3.2,2.0,3.4,4.3,0.5,1.8,6.2,1.0,5.7,3.0,,0.5,1.0,2.0,4.3,6.2,7.0,3.0,3.4,7.9
12-31,5.7,0.8,2.0,3.4,6.4,4.4,7.0,2.1,4.3,3.1,2.0,3.6,4.3,0.4,1.8,6.2,1.0,6.3,3.0,,0.4,1.0,2.1,4.4,6.3,7.0,3.1,3.4,7.9
01-01,6.3,1.2,2.0,3.4,6.3,4.4,7.0,2.1,4.3,3.1,2.2,3.6,4.4,0.4,2.0,6.2,1.0,7.6,2.7,,0.4,1.1,2.1,4.4,6.5,7.6,3.1,3.4,7.9
01-02,6.4,1.3,2.0,3.5,6.3,4.4,7.0,2.1,4.3,3.1,2.2,3.6,4.4,0.4,2.0,6.4,1.0,7.6,3.8,,0.4,1.3,2.2,4.4,6.5,7.6,3.1,3.6,7.9
01-03,6.4,1.6,2.0,3.5,6.3,4.4,7.1,2.1,4.3,3.0,2.3,3.6,4.4,0.4,2.0,6.4,1.0,7.6,3.8,,0.4,1.5,2.2,4.4,6.6,7.6,3.1,3.6,7.9
01-04,7.0,1.6,2.1,3.5,6.3,4.4,7.1,2.0,4.3,3.0,2.3,3.6,4.4,0.4,2.0,6.4,1.0,7.6,3.9,,0.4,1.5,2.2,4.4,7.0,7.6,3.1,3.6,7.9
01-05,7.9,1.6,2.6,4.2,6.3,4.4,7.1,2.0,4.3,3.0,2.3,3.8,4.5,0.4,2.0,6.4,1.0,7.6,4.0,,0.4,1.5,2.4,4.5,7.2,7.9,3.4,4.0,7.9
01-06,8.0,1.5,2.6,5.2,6.6,4.4,7.1,2.0,4.3,3.0,2.2,4.4,4.9,0.4,2.5,6.4,1.0,7.6,5.0,,0.4,1.4,2.5,5.1,7.2,8.0,3.6,4.4,7.9
01-07,8.0,1.5,2.6,5.6,6.7,4.4,7.1,2.0,4.3,3.0,2.2,5.0,4.9,0.4,3.1,6.3,1.0,7.6,5.2,,0.4,1.4,2.7,5.4,7.2,8.0,3.8,4.4,7.9
01-08,8.4,1.5,2.6,5.6,6.7,4.4,7.1,2.1,4.3,3.0,2.2,5.6,4.8,0.4,3.1,6.3,1.0,7.6,5.2,,0.4,1.4,2.8,5.6,7.2,8.4,3.8,4.4,7.9
01-09,10.2,1.4,2.6,5.6,6.6,4.4,7.1,2.1,4.3,3.0,2.2,5.7,4.8,0.4,3.1,6.3,1.0,7.6,5.1,,0.4,1.4,2.8,5.6,7.2,10.2,3.8,4.4,7.9
01-10,10.6,1.4,2.6,5.6,6.6,4.4,7.1,2.1,4.3,2.9,2.2,5.7,5.0,1.2,3.1,6.3,1.1,7.6,5.6,,1.1,1.4,2.7,5.7,7.2,10.6,3.8,4.4,7.9
01-11,10.0,1.4,2.6,5.6,6.6,4.4,7.1,2.1,4.5,2.9,2.2,5.7,5.0,1.2,3.1,6.3,1.1,7.6,6.5,,1.1,1.4,2.7,6.1,7.2,10.0,3.8,4.5,7.9
01-12,10.1,1.4,2.6,5.6,6.6,4.4,7.1,2.1,4.5,2.9,2.2,5.7,5.1,1.1,3.1,6.3,1.1,7.6,6.5,,1.1,1.4,2.7,6.1,7.2,10.1,3.8,4.5,7.9
01-13,10.1,1.4,2.9,5.6,6.6,4.4,7.1,2.1,4.5,2.8,2.5,5.7,5.8,1.1,3.1,6.3,1.1,7.6,6.5,,1.1,1.4,2.9,6.1,7.2,10.1,3.8,4.5,7.9
01-14,10.1,1.4,2.9,5.6,6.6,4.4,7.1,2.1,4.5,2.8,2.6,5.8,5.9,1.1,3.1,6.3,1.0,7.6,6.5,,1.0,1.4,2.9,6.2,7.2,10.1,3.9,4.5,7.9
01-15,10.1,1.4,2.9,5.6,6.6,4.4,7.1,2.1,4.5,2.8,2.6,5.8,5.9,1.1,3.4,6.3,1.0,7.6,7.0,,1.0,1.3,2.9,6.1,7.2,10.1,4.0,4.5,7.9
01-16,10.2,1.6,2.9,5.6,6.6,4.4,7.1,2.1,4.6,2.8,2.6,5.8,5.9,1.1,4.0,6.3,1.0,7.6,8.1,,1.0,1.5,2.9,6.1,7.7,10.2,4.0,4.6,7.9
01-17,10.2,1.6,2.9,5.6,6.6,4.4,7.1,2.1,4.6,2.8,2.6,5.8,5.9,1.1,4.5,6.3,1.0,7.6,9.0,,1.0,1.5,2.8,6.1,7.9,10.2,4.0,4.6,7.9
01-18,10.1,1.7,2.9,5.6,6.6,4.4,7.0,2.1,4.6,2.8,2.6,5.8,5.9,1.0,4.4,6.4,1.0,7.6,9.2,,1.0,1.6,2.8,6.2,7.9,10.1,4.0,4.6,7.9
