date,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
12-19,69.2,41.6,57.2,38.2,54.6,37.9,66.2,51.0,47.2,47.8,32.5,58.4,40.0,,32.5,37.9,41.0,55.6,64.7,69.2,47.8
12-20,71.5,41.3,57.4,37.6,54.2,37.5,66.7,51.0,47.4,48.0,32.8,58.6,40.1,,32.8,37.5,40.8,55.4,65.1,71.5,48.0
12-21,69.8,41.1,57.4,37.6,54.1,38.0,66.9,50.9,47.5,48.1,32.8,59.0,40.4,,32.8,37.7,40.8,55.4,65.3,69.8,48.1
12-22,69.6,41.1,57.1,38.7,54.6,38.5,67.0,50.9,47.7,48.3,32.8,58.8,40.8,,32.8,38.5,41.0,55.6,65.3,69.6,48.3
12-23,69.8,40.5,56.9,38.7,54.8,39.0,67.3,50.6,47.8,48.3,33.0,59.2,41.3,,33.0,38.8,41.0,55.6,65.7,69.8,48.3
12-24,69.9,40.1,57.0,39.2,54.9,39.0,67.0,50.1,48.1,48.4,33.2,59.8,41.5,,33.2,39.0,40.9,55.8,65.6,69.9,48.4
12-25,69.6,40.5,56.9,39.4,55.3,39.2,67.4,50.0,48.3,48.5,33.1,59.5,41.8,,33.1,39.2,41.3,55.9,65.8,69.6,48.5
12-26,69.7,40.1,56.9,39.7,55.7,39.4,67.6,50.2,48.7,48.4,32.5,59.9,42.2,,32.5,39.5,41.3,56.2,66.1,69.7,48.7
12-27,70.2,39.5,56.9,39.6,55.5,39.8,67.4,50.4,48.8,48.9,32.6,60.0,42.6,,32.6,39.5,41.5,56.1,65.9,70.2,48.9
12-28,70.4,39.7,57.0,39.8,56.0,40.5,67.7,50.8,48.7,48.8,33.1,59.7,44.1,,33.1,39.7,42.7,56.4,66.1,70.4,48.8
12-29,70.3,38.9,57.0,39.8,55.8,40.9,67.8,51.0,48.9,49.0,33.2,60.3,47.6,,33.2,39.1,44.9,56.3,66.3,70.3,49.0
12-30,70.2,39.8,57.4,39.5,56.3,41.2,67.9,51.1,49.0,48.8,33.2,60.3,47.5,,33.2,39.6,45.0,56.7,66.4,70.2,49.0
12-31,70.2,40.2,57.4,39.8,56.2,41.4,68.1,51.4,49.4,49.1,32.9,60.5,47.9,,32.9,39.9,45.3,56.6,66.6,70.2,49.4
01-01,70.3,40.9,57.3,39.8,56.2,41.3,68.1,51.6,49.3,49.1,32.7,60.9,48.8,,32.7,40.0,45.8,56.6,66.7,70.3,49.3
01-02,70.3,40.9,57.1,40.1,55.9,41.9,68.0,51.3,49.2,49.1,38.4,60.9,50.0,,38.4,40.2,46.2,56.4,66.6,70.3,50.0
01-03,70.4,40.6,56.8,39.8,55.5,42.4,68.1,51.4,49.2,49.2,32.6,60.9,51.0,,32.6,40.0,46.5,56.0,66.7,70.4,51.0
01-04,70.5,40.5,56.9,39.8,55.3,42.6,67.8,51.3,49.8,49.6,32.8,61.2,53.0,,32.8,40.0,46.8,55.9,66.5,70.5,51.3
01-05,70.3,40.5,56.7,40.2,55.0,42.8,67.9,51.4,49.2,49.4,32.8,61.3,53.9,,32.8,40.2,46.6,55.7,66.6,70.3,51.4
01-06,70.8,40.5,56.5,40.4,54.8,43.1,68.0,51.3,49.1,49.6,33.2,61.3,54.3,,33.2,40.4,46.7,55.5,66.7,70.8,51.3
01-07,70.2,40.1,56.3,40.4,54.9,42.8,67.8,50.9,49.4,49.9,32.7,61.6,54.8,,32.7,40.2,46.8,55.4,66.5,70.2,50.9
01-08,70.6,40.1,55.8,40.1,55.3,43.2,68.2,50.9,49.2,49.9,33.0,62.0,55.3,,33.0,40.1,46.8,55.5,66.9,70.6,50.9
01-09,70.4,40.6,55.6,40.8,54.9,43.8,68.0,51.1,49.4,49.9,32.9,62.3,55.7,,32.9,40.6,47.2,55.6,66.9,70.4,51.1
01-10,70.3,40.2,55.7,41.0,54.6,43.7,68.5,51.6,49.5,50.0,33.2,62.3,55.9,,33.2,40.3,47.2,55.8,67.3,70.3,51.6
01-11,70.3,33.6,55.7,40.7,54.8,44.2,68.5,52.0,49.8,50.0,32.8,62.5,56.1,,32.8,35.0,47.6,55.9,67.3,70.3,52.0
01-12,70.1,39.9,55.8,41.3,54.7,44.9,68.3,52.3,49.9,49.8,33.1,62.7,56.6,,33.1,40.2,47.8,56.1,67.2,70.1,52.3
01-13,70.3,39.6,55.7,41.8,55.3,45.2,68.6,52.1,49.9,49.9,32.7,62.8,56.8,,32.7,40.0,48.0,56.2,67.4,70.3,52.1
01-14,70.5,39.7,55.7,42.2,55.8,44.9,68.7,52.9,49.9,50.2,32.9,62.5,57.0,,32.9,40.2,47.9,56.3,67.5,70.5,52.9
01-15,70.5,38.9,55.8,42.2,56.0,46.1,68.5,53.4,50.2,50.2,33.0,62.6,57.3,,33.0,39.5,48.5,56.5,67.3,70.5,53.4
01-16,70.5,38.4,55.6,42.4,56.4,46.1,68.6,53.5,50.3,50.3,33.2,62.5,57.5,,33.2,39.2,48.6,56.9,67.4,70.5,53.5
01-17,70.5,38.7,55.4,42.4,57.1,46.4,69.0,53.9,50.4,50.6,32.9,62.8,57.8,,32.9,39.4,48.8,57.3,67.7,70.5,53.9
01-18,75.0,38.6,55.3,42.9,58.2,46.1,69.0,53.8,50.5,50.9,32.7,62.9,58.1,,32.7,39.5,48.7,58.1,67.8,75.0,53.8
01-19,73.3,37.9,55.0,42.9,58.2,46.5,69.2,53.8,50.6,51.0,33.1,62.8,58.4,,33.1,38.9,49.0,58.3,67.9,73.3,53.8
01-20,72.6,38.5,54.9,43.2,58.2,46.6,69.5,53.6,50.8,51.1,32.7,62.7,58.7,,32.7,39.5,49.1,58.4,68.2,72.6,53.6
01-21,72.7,39.2,54.6,51.9,58.3,47.3,69.3,53.9,50.8,50.9,32.6,62.9,58.8,,32.6,40.8,50.8,58.5,68.0,72.7,53.9
01-22,72.6,39.8,54.5,51.8,58.7,47.9,69.6,54.1,51.1,51.0,32.7,63.1,59.0,,32.7,41.4,51.1,58.8,68.3,72.6,54.1
01-23,72.7,39.9,54.1,52.0,58.3,47.7,69.4,54.1,51.4,51.3,32.9,62.8,59.2,,32.9,41.4,51.4,58.6,68.1,72.7,54.1
01-24,72.8,40.6,53.7,38.4,57.2,47.7,69.5,54.4,51.3,51.2,33.1,62.9,59.1,,33.1,38.8,49.8,58.0,68.2,72.8,53.7
