date,2020,2021,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
11-13,60.6,14.7,17.3,,14.7,15.2,16.3,34.6,51.9,60.6,17.3
11-14,60.1,14.5,19.1,,14.5,15.4,17.2,35.5,51.9,60.1,19.1
11-15,59.8,14.6,20.2,,14.6,15.7,18.0,36.1,51.9,59.8,20.2
11-16,59.6,14.6,21.0,,14.6,15.8,18.4,36.4,51.9,59.6,21.0
11-17,59.6,14.7,21.8,,14.7,16.1,18.9,36.9,52.0,59.6,21.8
11-18,59.5,14.7,22.3,,14.7,16.2,19.3,37.2,52.1,59.5,22.3
11-19,59.4,14.6,23.0,,14.6,16.3,19.7,37.6,52.1,59.4,23.0
11-20,59.0,14.8,23.3,,14.8,16.5,19.9,37.6,51.9,59.0,23.3
11-21,59.0,14.8,23.6,,14.8,16.6,20.1,37.8,51.9,59.0,23.6
11-22,59.0,14.8,24.2,,14.8,16.7,20.4,38.2,52.1,59.0,24.2
11-23,59.0,14.7,24.3,,14.7,16.6,20.4,38.2,52.0,59.0,24.3
11-24,59.0,14.8,24.3,,14.8,16.7,20.5,38.2,52.0,59.0,24.3
11-25,58.9,14.5,24.6,,14.5,16.5,20.6,38.3,52.0,58.9,24.6
11-26,58.7,14.5,25.1,,14.5,16.6,20.8,38.5,52.0,58.7,25.1
11-27,58.5,14.3,25.2,,14.3,16.5,20.8,38.5,51.9,58.5,25.2
11-28,58.3,14.3,25.1,,14.3,16.5,20.8,38.4,51.7,58.3,25.1
11-29,58.1,14.8,25.5,,14.8,17.0,21.2,38.5,51.6,58.1,25.5
11-30,58.2,15.0,25.3,,15.0,17.0,21.2,38.4,51.6,58.2,25.3
12-01,57.9,14.2,25.7,,14.2,16.5,21.1,38.6,51.5,57.9,25.7
12-02,57.8,14.3,25.9,,14.3,16.6,21.2,38.7,51.4,57.8,25.9
12-03,58.1,14.4,25.9,,14.4,16.7,21.3,38.7,51.6,58.1,25.9
12-04,58.1,14.6,26.2,,14.6,16.9,21.6,39.0,51.7,58.1,26.2
12-05,57.9,14.4,26.5,,14.4,16.9,21.7,39.1,51.6,57.9,26.5
12-06,58.0,22.5,26.5,,22.5,23.3,24.9,39.1,51.7,58.0,26.5
12-07,57.9,14.6,26.3,,14.6,16.9,21.6,38.9,51.6,57.9,26.3
12-08,58.2,14.7,26.7,,14.7,17.1,21.9,39.3,51.9,58.2,26.7
12-09,58.0,14.3,27.0,,14.3,16.8,21.9,39.4,51.8,58.0,27.0
12-10,58.4,14.2,26.8,,14.2,16.7,21.8,39.5,52.1,58.4,26.8
