date,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
01-15,19.0,1.1,13.6,27.8,25.7,29.4,27.7,12.9,30.9,25.5,18.4,20.7,25.8,23.0,13.8,35.2,26.6,22.9,,1.1,13.4,19.1,26.5,29.8,35.2,24.3
01-16,12.3,10.3,-3.0,29.5,30.6,34.2,12.9,22.8,29.4,29.7,22.8,17.0,22.5,25.9,20.0,30.9,29.9,20.1,,-3.0,11.7,20.0,29.5,30.7,34.2,22.8
01-17,26.2,12.5,11.7,27.6,27.2,30.2,8.4,24.9,28.6,25.0,25.2,19.1,28.0,25.2,16.4,33.9,31.6,21.3,,8.4,12.2,21.6,27.6,30.6,33.9,25.2
01-18,23.3,12.6,11.6,31.6,22.7,27.0,24.4,25.3,28.0,33.1,26.2,24.1,32.6,19.7,15.6,20.8,28.9,14.8,,11.6,14.1,20.9,27.0,31.9,33.1,24.3
01-19,15.1,19.4,19.5,32.2,21.4,19.9,32.8,26.7,29.3,30.7,20.4,21.6,30.9,23.4,19.9,13.7,21.2,13.9,,13.7,14.7,19.9,26.4,31.3,32.8,21.3
01-20,11.0,19.0,17.2,31.5,22.1,19.3,29.2,25.8,27.3,20.3,18.4,18.0,24.3,25.9,25.0,23.2,23.9,14.4,,11.0,16.3,19.0,24.9,27.9,31.5,22.6
01-21,12.6,11.8,12.5,33.6,21.7,28.8,25.8,28.4,27.2,11.1,19.6,20.6,12.1,20.4,26.3,26.3,21.9,17.9,,11.1,12.0,18.0,26.3,28.5,33.6,21.2
01-22,9.8,17.2,11.1,36.1,21.2,21.3,17.9,32.4,25.8,18.5,27.6,15.6,16.2,13.6,26.3,25.0,20.2,13.6,,9.8,12.8,16.3,24.6,29.0,36.1,19.4
01-23,18.6,26.2,10.9,31.5,16.1,22.2,18.6,34.5,18.5,27.0,26.6,19.2,17.8,22.6,27.5,22.6,29.8,16.5,,10.9,16.4,18.6,26.6,30.3,34.5,22.4
01-24,25.7,28.9,14.8,30.5,15.7,20.9,17.2,31.4,27.7,31.6,21.6,11.5,23.4,20.8,25.5,15.4,28.1,17.3,,11.5,15.3,17.7,27.5,30.7,31.6,22.5
01-25,26.1,28.5,17.4,24.9,16.3,22.1,29.4,29.9,32.4,38.0,14.5,7.3,21.2,23.0,26.9,12.6,16.2,12.3,,7.3,12.5,16.4,26.8,30.7,38.0,22.6
01-26,24.3,26.5,19.7,13.5,20.7,22.5,26.5,30.0,30.6,37.2,18.1,4.9,14.7,29.2,28.5,13.6,19.6,20.0,,4.9,13.6,19.6,26.5,30.2,37.2,21.6
01-27,18.8,18.9,19.8,13.0,21.6,30.6,16.2,25.3,27.0,32.4,25.9,12.1,21.4,30.6,23.5,13.1,16.1,23.9,,12.1,13.1,18.8,25.2,30.6,32.4,21.5
01-28,17.2,20.1,13.9,18.3,22.3,32.1,22.1,12.4,23.4,31.0,30.6,28.4,29.8,20.3,22.5,19.3,23.0,17.5,,12.4,16.2,19.4,23.3,30.8,32.1,22.2
01-29,20.8,22.2,8.6,22.3,21.9,29.1,28.0,10.3,30.0,28.3,31.2,28.2,31.7,19.4,19.5,21.0,28.2,17.5,,8.6,15.4,20.8,28.2,30.4,31.7,22.2
01-30,28.2,19.5,7.1,27.3,21.2,27.1,26.8,21.0,22.3,29.5,24.4,28.8,36.3,23.0,23.2,18.8,28.8,8.8,,7.1,15.8,21.3,27.3,29.0,36.3,23.8
01-31,25.7,10.8,9.9,27.9,19.1,17.5,21.6,24.2,15.3,29.3,11.6,32.6,33.7,25.6,28.5,21.0,26.2,7.1,,7.1,10.5,17.7,26.1,30.3,33.7,22.9
02-01,28.9,7.1,10.8,23.7,16.9,-7.7,22.9,24.4,8.2,29.3,13.6,33.2,32.7,26.1,33.2,28.3,10.0,17.0,,-7.7,7.9,13.9,28.1,32.9,33.2,23.3
02-02,23.8,11.8,9.0,29.5,19.8,-4.9,20.9,26.2,8.6,32.7,6.2,27.4,34.2,27.6,32.3,30.7,2.0,22.6,,-4.9,4.9,12.6,27.6,32.4,34.2,23.2
02-03,22.4,26.0,16.2,28.3,21.1,20.1,16.8,27.6,13.7,34.4,7.2,27.9,33.9,26.6,13.4,24.1,9.4,26.5,,7.2,12.2,17.1,26.6,30.0,34.4,23.2
02-04,25.5,32.0,12.0,28.7,19.5,31.2,15.4,26.1,6.4,33.5,16.7,28.4,34.7,24.4,1.4,16.2,19.5,26.6,,1.4,10.3,17.0,28.2,32.5,34.7,25.0
02-05,15.1,35.0,10.5,29.5,24.3,23.5,15.1,31.4,6.2,36.4,19.7,29.5,30.5,20.5,15.5,20.8,24.6,22.7,,6.2,13.7,19.8,29.0,32.4,36.4,23.1
02-06,19.4,37.5,12.7,27.0,25.2,18.5,14.8,24.7,17.0,37.0,26.5,29.3,23.0,11.2,26.8,23.4,21.7,18.0,,11.2,14.2,18.6,26.4,31.6,37.5,23.2
