date,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
11-28,10.0,10.4,13.7,29.5,28.9,17.2,33.2,31.0,29.0,34.2,11.8,19.8,27.3,29.9,27.1,26.8,36.3,21.4,,10.0,11.4,20.0,29.4,33.5,36.3,27.2
11-29,19.6,0.7,24.0,31.7,25.2,11.3,29.9,32.0,27.0,35.4,10.6,15.9,28.7,25.4,24.8,23.5,38.3,8.5,,0.7,10.0,20.0,28.5,33.0,38.3,25.0
11-30,15.1,14.8,24.2,33.9,28.5,16.7,28.9,33.8,25.0,32.3,12.7,14.3,29.7,25.6,14.4,25.2,34.9,18.0,,12.7,14.3,16.8,28.9,33.8,34.9,25.1
12-01,25.8,16.4,22.4,36.5,27.1,29.6,20.8,32.6,32.3,28.5,20.5,16.2,31.9,18.0,16.9,17.4,38.6,22.5,,16.2,16.7,20.5,29.5,33.8,38.6,24.2
12-02,27.3,5.7,14.0,32.5,12.7,29.8,20.0,31.3,32.1,31.6,25.2,11.1,31.5,16.4,26.9,13.1,40.0,13.6,,5.7,12.3,14.2,31.1,32.2,40.0,26.0
12-03,13.4,13.3,26.1,25.4,4.3,32.3,13.7,20.9,20.8,31.0,27.4,17.2,27.9,9.0,29.2,23.8,36.8,22.0,,4.3,12.0,17.6,27.3,31.4,36.8,22.9
12-04,6.6,24.1,38.4,22.1,13.6,31.3,11.1,29.9,-0.8,31.5,26.4,25.5,14.5,6.0,29.6,30.4,35.8,30.0,,-0.8,6.4,15.3,30.0,32.8,38.4,26.0
12-05,12.6,29.8,32.9,25.7,10.8,29.5,3.4,33.1,-8.2,30.3,19.8,13.5,17.8,18.1,29.2,30.7,33.1,22.3,,-8.2,8.5,17.8,29.7,33.0,33.1,24.0
12-06,11.8,29.1,29.1,35.4,5.4,27.0,16.6,29.5,-5.1,31.4,24.7,10.9,17.6,22.4,27.0,29.5,28.4,14.6,,-5.1,9.3,16.7,29.0,30.1,35.4,25.9
12-07,-5.3,28.0,27.1,32.8,8.8,26.2,25.6,25.2,6.4,28.9,31.6,3.0,25.1,24.2,27.2,31.6,28.9,17.6,,-5.3,5.4,24.3,28.0,31.6,32.8,25.9
12-08,6.4,27.9,23.0,24.4,4.6,28.8,25.9,18.9,2.3,29.6,35.3,12.4,32.4,23.8,28.3,34.3,27.9,15.6,,2.3,5.9,19.3,28.3,33.0,35.3,25.2
12-09,22.5,24.0,17.3,19.3,1.2,33.2,23.9,8.7,2.6,32.0,36.2,28.8,32.2,19.7,23.2,32.8,25.2,17.3,,1.2,6.9,19.3,28.4,32.9,36.2,23.5
12-10,26.0,22.0,13.3,31.6,6.2,28.0,21.6,20.3,15.3,32.1,30.0,30.6,32.0,23.6,22.4,26.7,9.0,19.8,,6.2,12.0,20.4,27.9,31.7,32.1,23.0
12-11,24.4,22.6,11.1,28.3,13.5,26.3,21.6,22.1,15.8,30.6,21.6,24.3,38.8,22.9,24.3,16.3,12.7,22.8,,11.1,13.2,21.6,24.3,29.0,38.8,22.7
12-12,23.1,27.5,10.9,26.9,20.3,34.2,20.0,21.6,22.0,34.2,16.5,22.0,36.8,19.8,29.7,11.7,20.8,17.0,,10.9,15.1,20.1,26.5,34.2,36.8,21.8
12-13,20.2,32.3,10.8,18.1,22.3,33.4,22.6,24.7,22.5,28.3,22.1,23.7,32.5,17.4,25.5,14.0,23.9,15.8,,10.8,15.3,20.4,24.6,32.4,33.4,22.5
12-14,12.1,35.5,7.1,6.4,17.7,32.2,18.4,26.6,26.2,20.5,18.7,29.6,25.2,24.6,20.2,16.3,28.2,14.4,,6.4,10.6,17.8,26.1,30.4,35.5,20.3
