date,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
11-23,34.5,21.4,31.3,16.6,18.5,30.8,35.2,26.9,17.5,33.3,25.1,43.7,31.4,24.7,28.8,35.0,24.7,,16.6,18.1,24.7,31.7,35.0,43.7,28.8
11-24,28.3,28.2,31.0,25.7,2.2,30.7,37.3,27.0,17.9,31.8,20.5,44.2,22.8,30.8,20.2,18.9,24.2,,2.2,18.5,22.4,30.8,34.0,44.2,27.0
11-25,27.9,33.0,34.1,30.1,13.3,28.3,34.7,29.4,29.2,25.5,24.4,43.5,15.8,23.3,27.5,28.7,33.1,,13.3,20.3,27.1,30.7,34.3,43.5,28.7
11-26,26.4,28.0,31.3,33.3,24.1,29.6,32.3,30.1,34.6,15.7,26.3,44.5,26.8,11.0,15.7,35.9,28.3,,11.0,15.7,26.4,31.5,35.1,44.5,28.3
11-27,23.8,28.5,31.3,33.3,21.0,37.5,32.6,29.3,40.1,14.5,22.0,38.2,35.3,18.9,19.7,35.6,27.1,,14.5,19.4,23.5,33.7,37.8,40.1,29.3
11-28,11.8,15.0,28.1,29.7,15.9,39.1,34.3,27.0,40.3,10.7,17.9,29.1,31.9,27.6,31.1,38.3,26.9,,10.7,13.7,25.1,31.2,38.6,40.3,28.1
11-29,1.8,32.8,29.2,27.4,10.3,35.2,34.2,25.7,36.9,8.1,14.6,33.3,28.7,22.1,26.2,40.4,10.0,,1.8,9.2,20.6,32.9,35.9,40.4,27.4
11-30,21.9,29.7,32.7,30.1,24.7,31.7,34.3,27.3,34.3,13.7,13.9,36.1,24.8,13.0,27.9,39.0,20.7,,13.0,13.8,24.2,31.9,35.0,39.0,27.9
12-01,21.8,25.0,40.4,30.2,32.9,22.6,34.2,31.1,30.6,21.6,17.1,35.6,19.1,20.1,20.6,40.9,28.0,,17.1,19.7,21.8,31.5,37.5,40.9,28.0
12-02,9.4,16.8,34.9,18.8,34.6,22.3,33.0,36.2,32.8,28.0,11.4,36.5,15.3,32.6,12.5,39.8,20.9,,9.4,12.1,18.4,33.4,36.3,39.8,28.0
12-03,19.5,31.6,25.5,9.6,36.8,14.7,27.2,25.8,32.6,30.8,18.9,30.8,7.7,32.0,25.1,37.3,27.1,,7.7,12.7,23.9,31.0,34.3,37.3,27.1
12-04,28.3,42.0,24.0,23.3,33.5,10.2,34.9,0.6,33.5,30.7,31.4,13.6,10.7,31.5,32.2,36.6,32.3,,0.6,10.5,23.9,32.6,35.6,42.0,31.4
12-05,32.5,37.9,28.9,21.3,32.8,6.5,37.9,-3.6,31.0,23.1,23.2,20.0,21.3,27.9,30.1,35.0,29.2,,-3.6,14.6,22.7,31.3,36.1,37.9,28.9
12-06,31.3,32.7,38.8,8.2,30.8,24.4,33.1,3.3,31.6,30.2,18.5,22.2,25.3,26.0,29.0,32.1,19.4,,3.3,14.4,23.9,31.3,32.9,38.8,29.0
12-07,29.5,29.2,35.1,18.6,27.7,30.0,27.1,9.3,29.9,35.7,6.3,24.8,25.8,30.8,29.9,28.6,21.1,,6.3,14.9,25.6,29.9,32.5,35.7,28.6
12-08,27.8,22.3,23.7,6.5,34.5,26.5,25.5,0.4,30.3,35.7,22.0,33.0,26.3,28.4,33.8,28.1,17.6,,0.4,13.1,23.4,28.8,34.1,35.7,26.5
12-09,26.7,16.6,21.2,6.7,35.1,27.3,10.9,4.8,31.4,40.2,34.2,31.8,24.5,22.0,32.5,26.8,19.9,,4.8,9.2,20.9,31.5,34.6,40.2,26.7
12-10,22.9,17.4,36.0,15.5,32.6,23.1,20.7,18.8,31.8,37.4,36.2,32.4,26.8,24.8,28.6,7.7,22.8,,7.7,16.6,22.4,31.9,36.1,37.4,24.8
12-11,20.4,12.5,30.9,20.1,29.1,21.1,23.1,20.0,31.8,23.7,29.6,35.9,28.8,24.4,18.4,14.9,24.5,,12.5,17.0,20.3,28.9,31.2,35.9,23.7
12-12,27.1,15.2,31.3,25.6,34.9,20.1,26.0,26.6,32.7,17.3,28.4,36.1,21.6,31.3,14.5,23.4,15.4,,14.5,15.3,21.3,28.9,33.6,36.1,26.0
12-13,32.7,16.1,21.8,24.4,37.9,23.2,25.7,22.3,25.7,28.7,29.4,35.1,21.7,29.8,15.3,26.2,13.7,,13.7,15.8,22.2,28.8,33.6,37.9,25.7
12-14,35.4,9.0,5.9,18.5,38.4,19.7,26.0,25.8,16.1,16.4,36.7,28.0,28.4,22.9,16.6,29.2,15.2,,5.9,12.7,16.5,28.0,35.9,38.4,22.9
12-15,37.0,15.6,7.9,21.8,25.3,17.7,20.3,33.2,18.6,13.1,37.7,36.1,32.1,11.9,17.0,13.4,13.1,,7.9,12.6,15.1,26.7,36.4,37.7,18.6
12-16,24.5,20.4,12.7,29.3,18.3,19.9,19.3,32.4,22.2,12.6,28.3,27.5,30.4,9.1,22.9,18.9,10.6,,9.1,11.8,18.8,25.1,29.7,32.4,20.4
12-17,15.6,23.5,14.1,27.4,19.1,27.9,27.2,35.6,22.1,17.8,5.0,21.9,29.7,18.1,22.7,14.8,19.7,,5.0,14.5,18.0,24.3,28.6,35.6,21.9
12-18,11.1,21.4,19.2,25.1,30.4,31.5,21.7,35.8,19.8,27.2,7.1,30.3,28.7,20.6,19.2,20.6,19.4,,7.1,15.9,19.8,27.5,30.8,35.8,21.4
