date,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
02-02,7.6,10.5,22.2,23.1,-4.2,21.8,22.4,8.9,31.7,6.2,27.1,33.0,33.2,37.5,35.9,0.6,22.2,,-4.2,4.0,10.2,28.0,34.3,37.5,22.2
02-03,21.6,18.4,25.8,23.9,17.5,15.9,24.1,14.0,34.1,8.1,30.4,33.5,27.9,9.1,23.6,5.5,29.8,,5.5,8.7,17.2,26.2,31.7,34.1,23.6
02-04,25.8,10.9,31.0,20.8,27.0,13.7,23.4,7.2,32.4,15.7,29.6,32.9,26.7,-1.1,15.6,17.0,27.2,,-1.1,9.4,15.7,27.0,31.5,32.9,23.4
02-05,34.1,6.4,33.6,26.8,23.3,15.0,32.1,7.6,37.9,18.0,32.5,30.2,20.6,11.0,20.5,21.0,25.9,,6.4,9.6,20.0,30.6,33.8,37.9,23.3
02-06,37.3,13.1,26.2,26.1,17.5,13.6,22.4,17.3,41.3,23.7,30.6,22.5,10.5,25.8,24.2,18.8,19.5,,10.5,13.4,18.5,25.9,33.3,41.3,22.5
02-07,34.8,19.1,24.8,19.7,23.6,15.7,22.2,22.3,39.6,25.2,32.7,26.9,4.0,28.8,27.6,25.2,20.9,,4.0,17.7,21.9,27.0,33.5,39.6,24.8
02-08,31.3,17.2,25.8,12.3,6.3,26.2,23.3,28.4,36.3,27.9,33.9,33.0,13.8,23.4,28.8,26.5,17.9,,6.3,13.2,22.2,28.4,33.3,36.3,26.2
02-09,30.7,23.9,21.7,12.8,7.2,25.2,16.5,29.1,34.1,31.8,42.0,33.6,16.6,12.1,27.1,27.8,12.0,,7.2,12.1,16.6,29.5,33.8,42.0,25.2
02-10,33.0,27.5,14.3,18.3,11.6,26.9,10.6,23.4,26.0,33.5,35.8,18.0,17.7,10.8,27.1,30.6,26.8,,10.6,11.3,18.0,27.2,33.2,35.8,26.0
02-11,30.4,23.9,14.0,20.7,18.3,28.4,5.2,21.5,26.3,34.0,23.4,19.4,8.2,13.7,27.8,26.4,30.7,,5.2,11.5,19.2,26.6,30.5,34.0,23.4
