date,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
01-09,37.0,21.6,21.0,36.3,22.6,35.2,33.3,29.5,37.9,19.6,32.0,32.9,32.5,22.1,20.8,27.3,29.5,,19.6,20.9,22.5,33.0,36.6,37.9,29.5
01-10,35.1,27.1,24.4,32.9,7.9,38.1,25.2,30.7,34.2,17.6,28.0,30.6,33.3,19.4,23.4,32.5,29.8,,7.9,18.7,25.0,32.6,34.5,38.1,29.8
01-11,28.8,27.5,30.6,32.7,17.6,25.0,7.0,36.0,33.8,25.2,28.4,30.0,26.2,24.8,27.3,36.3,23.9,,7.0,21.4,25.1,30.1,34.7,36.3,27.5
01-12,16.0,24.6,29.1,32.9,30.4,25.9,3.2,26.2,30.9,33.6,27.5,33.8,25.2,21.6,35.1,38.7,29.7,,3.2,19.3,25.7,31.3,34.3,38.7,29.1
01-13,0.5,22.6,32.4,30.6,36.3,32.4,-1.1,27.9,24.4,32.9,29.5,35.6,23.7,26.2,40.5,42.4,32.7,,-1.1,13.8,25.9,32.8,38.0,42.4,30.6
01-14,3.7,27.9,34.0,25.7,31.6,37.8,-2.6,30.9,27.9,26.8,29.7,37.6,24.1,27.9,31.3,30.4,29.8,,-2.6,15.9,27.6,31.0,35.4,37.8,29.7
01-15,11.7,27.5,34.3,34.9,33.8,31.8,11.7,35.1,36.0,22.8,27.3,38.1,27.1,29.7,39.4,37.8,25.5,,11.7,18.4,27.3,34.9,37.9,39.4,31.8
01-16,17.6,2.7,35.8,36.1,38.3,22.5,26.1,34.2,38.5,28.6,21.9,33.8,28.8,32.0,35.4,40.6,24.4,,2.7,20.2,25.7,35.5,38.4,40.6,32.0
01-17,18.1,10.2,36.9,30.7,39.7,25.0,30.6,36.9,34.5,33.1,27.9,36.5,31.3,22.1,37.9,36.5,20.8,,10.2,19.8,27.3,36.5,37.3,39.7,31.3
01-18,25.5,15.4,38.3,26.8,35.2,36.0,30.6,37.0,41.5,31.8,30.9,40.1,24.4,28.2,27.7,32.0,18.0,,15.4,21.8,27.5,35.4,39.0,41.5,30.9
01-19,29.1,26.1,39.9,25.2,28.4,39.7,35.6,39.6,39.0,27.9,26.2,37.8,33.4,28.2,22.6,27.9,20.5,,20.5,24.2,27.5,36.0,39.6,39.9,28.4
01-20,24.8,27.0,37.4,23.5,25.7,36.7,35.1,38.5,32.0,27.1,23.2,24.4,35.6,30.6,28.4,28.8,15.8,,15.8,23.4,25.5,32.6,37.0,38.5,28.4
01-21,10.8,20.1,41.0,24.3,33.3,27.7,37.2,37.2,23.7,29.7,22.1,13.8,23.2,28.6,32.9,27.1,18.9,,10.8,16.8,23.0,30.3,37.2,41.0,27.1
01-22,20.5,21.6,39.2,21.9,30.0,23.2,42.4,34.7,23.9,34.5,22.5,25.0,14.4,30.0,30.2,26.4,18.1,,14.4,19.5,22.4,30.1,36.5,42.4,25.0
01-23,32.4,22.6,37.0,18.1,26.1,24.1,39.9,26.6,28.6,34.2,22.5,26.6,27.7,32.7,22.1,31.1,13.6,,13.6,20.5,23.8,31.4,35.3,39.9,26.6
01-24,37.2,20.3,33.4,18.7,28.4,22.8,35.8,32.0,32.5,24.1,15.4,31.8,26.2,34.7,22.5,34.5,17.4,,15.4,18.2,22.7,32.7,35.1,37.2,28.4
01-25,34.9,20.1,27.7,28.8,29.1,33.8,34.7,36.9,40.3,19.2,11.7,30.0,26.4,34.3,18.7,24.3,17.2,,11.7,18.1,23.4,33.9,35.7,40.3,28.8
01-26,33.1,25.2,18.0,29.8,26.6,36.5,32.4,35.6,40.6,25.0,10.6,21.7,27.9,35.8,13.8,24.3,18.1,,10.6,16.3,23.8,32.5,36.1,40.6,26.6
01-27,30.6,27.0,14.4,24.6,35.4,24.3,29.7,34.2,34.0,39.0,14.5,30.0,37.2,27.3,17.4,24.4,30.9,,14.4,16.3,24.6,31.5,36.1,39.0,29.7
01-28,27.5,17.8,24.4,26.2,38.7,28.6,15.6,32.2,34.7,41.7,26.2,34.7,30.9,29.7,24.4,27.9,25.7,,15.6,21.8,26.1,31.2,36.3,41.7,27.9
01-29,30.2,13.8,25.5,29.1,37.0,35.6,14.5,38.5,33.4,40.6,35.6,39.6,30.6,24.4,25.5,34.3,24.3,,13.8,20.4,25.5,35.6,38.9,40.6,30.6
01-30,29.3,11.5,34.2,25.2,27.9,35.4,24.3,33.4,28.9,32.9,40.6,44.2,32.9,25.5,24.6,36.3,20.3,,11.5,22.7,25.4,33.6,38.0,44.2,29.3
01-31,19.2,18.1,36.5,25.5,19.4,33.4,30.7,25.0,29.1,28.0,40.8,42.3,34.0,34.5,27.1,37.0,16.9,,16.9,18.8,25.4,34.1,38.6,42.3,29.1
02-01,14.5,22.1,29.3,25.5,4.8,31.3,33.4,15.3,29.8,13.6,37.2,41.0,35.2,43.7,30.7,20.3,25.2,,4.8,14.2,21.7,31.7,38.7,43.7,29.3
02-02,18.3,22.6,34.3,25.9,-0.9,22.8,34.2,17.6,38.5,7.5,33.6,40.1,32.4,40.5,37.4,8.8,32.9,,-0.9,8.3,21.8,34.2,39.1,40.5,32.4
02-03,32.7,21.2,37.8,27.7,18.0,22.6,33.6,19.6,39.6,13.5,33.6,37.8,28.6,12.9,33.6,12.0,32.4,,12.0,13.2,20.9,33.6,37.8,39.6,28.6
02-04,37.0,14.0,36.0,28.9,28.6,23.7,35.8,18.0,41.7,21.9,34.3,39.6,26.2,6.4,20.3,22.5,35.4,,6.4,16.4,22.4,35.5,38.0,41.7,28.6
02-05,42.3,13.8,35.2,28.4,30.0,22.8,38.1,21.0,44.6,23.9,35.8,39.7,23.0,15.1,28.9,30.7,29.5,,13.8,18.6,23.7,35.3,40.7,44.6,29.5
02-06,41.5,24.6,30.0,28.9,25.2,22.3,32.7,24.3,42.8,34.7,30.6,29.7,11.5,31.3,32.2,26.8,20.3,,11.5,21.5,25.1,31.5,37.4,42.8,29.7
02-07,39.9,32.7,30.2,26.6,31.3,23.9,30.7,25.3,41.4,34.9,33.6,36.3,13.1,34.7,37.0,33.1,23.0,,13.1,23.5,29.5,34.7,38.2,41.4,32.7
02-08,37.6,29.5,25.5,23.4,16.2,32.2,23.7,33.1,42.1,40.1,40.6,41.5,20.1,36.0,37.9,36.3,30.6,,16.2,22.1,28.7,37.7,41.0,42.1,33.1
02-09,37.6,35.2,19.4,22.8,16.0,32.5,19.0,38.5,41.9,44.2,44.4,43.3,21.7,22.3,33.4,33.1,21.2,,16.0,19.3,22.2,37.8,43.7,44.4,33.1
02-10,37.0,34.9,17.1,24.1,22.8,37.6,14.9,33.1,34.7,46.4,39.9,29.7,21.7,24.3,31.8,34.9,29.5,,14.9,19.9,24.2,34.9,38.5,46.4,31.8
02-11,32.5,32.2,21.0,24.6,29.7,35.6,12.7,30.7,33.4,46.0,32.7,24.6,17.1,20.8,35.2,36.5,27.5,,12.7,19.3,24.6,32.9,36.0,46.0,30.7
